Pay Item,Description,Quantity,Unit,Unit Price,Bid Date,Bidder Name,ProjectID,Job Size,Job Desc,County,Region,Pos,Extension,Bidder2Name,Bidder3Name,Bidder2Total,Bidder3Total,JobFederalID,StateID
201-52370,CLEARING RIGHT OF WAY,1.0,EACH,80000.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,80000.0,,,0.0,0.0,1802906,IN
110-01001,MOBILIZATION AND DEMOBILIZATION,1.0,EACH,158850.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,158850.0,,,0.0,0.0,1802906,IN
109-11362,"QUALITY ADJUSTMENTS, FAILURE TO MAINTAIN TEMPORARY EROSION AND SEDIMENT CONTROL MEASURES",1.0,$,1.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1.0,,,0.0,0.0,1802906,IN
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1.0,,,0.0,0.0,1802906,IN
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1.0,,,0.0,0.0,1802906,IN
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1.0,,,0.0,0.0,1802906,IN
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1.0,,,0.0,0.0,1802906,IN
109-08360,CONTRACT LIENS,1.0,$,1.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1.0,,,0.0,0.0,1802906,IN
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1.0,,,0.0,0.0,1802906,IN
105-06845,CONSTRUCTION ENGINEERING,1.0,EACH,50000.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,50000.0,,,0.0,0.0,1802906,IN
211-02050,B BORROW,530.0,C.Y.,57.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,30210.0,,,0.0,0.0,1802906,IN
211-06467,AGGREGATE FOR END BENT BACKFILL,60.0,C.Y.,165.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,9900.0,,,0.0,0.0,1802906,IN
211-09264,"STRUCTURAL BACKFILL, TYPE 1",94.0,C.Y.,71.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,6674.0,,,0.0,0.0,1802906,IN
207-09935,"SUBGRADE TREATMENT, TYPE IC",1871.0,SYS,40.5,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,75775.5,,,0.0,0.0,1802906,IN
206-51235,COFFERDAM,1.0,EACH,400000.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,400000.0,,,0.0,0.0,1802906,IN
206-51220,"EXCAVATION, WET",101.0,C.Y.,227.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,22927.0,,,0.0,0.0,1802906,IN
205-12618,SWQCP PREPARATION,1.0,EACH,3000.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,3000.0,,,0.0,0.0,1802906,IN
205-12616,STORMWATER MANAGEMENT IMPLEMENTATION,1.0,EACH,10000.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,10000.0,,,0.0,0.0,1802906,IN
205-12108,STORM WATER MANAGEMENT BUDGET,39959.0,$,1.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,39959.0,,,0.0,0.0,1802906,IN
203-02070,BORROW,4528.0,C.Y.,47.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,212816.0,,,0.0,0.0,1802906,IN
